LINC00313	ceRNA or sponge	MIR4429
LINC00313	transcriptional regulation	SOX2
LINC00313	ceRNA or sponge	MIR422A
LINC00313	ceRNA or sponge	FOSL2
LINC00313	epigenetic regulation	ALX4
LINC00313	ceRNA or sponge	ZIC4
LINC00313	transcriptional regulation	SHCBP1
IQANK1	epigenetic regulation	CDKN1A
IQANK1	interact with protein	EZH2
IQANK1	ceRNA or sponge	WNT3A
IQANK1	expression association	NOTCH1
IQANK1	expression association	HES1
IQANK1	ceRNA or sponge	CCDC88A
IQANK1	ceRNA or sponge	MTDH
IQANK1	interact with protein	ELAVL1
IQANK1	ceRNA or sponge	MEF2D
NEAT1	expression association	TGFB1
NEAT1	ceRNA or sponge	ZEB1
NEAT1	expression association	STAT3
NEAT1	expression association	CDH1
NEAT1	ceRNA or sponge	IGF2
NEAT1	ceRNA or sponge	CDK14
NEAT1	ceRNA or sponge	CXCR4
NEAT1	ceRNA or sponge	LEF1
NEAT1	transcriptional regulation	MIR342
NEAT1	expression association	BCL2
NEAT1	expression association	CCND1
NEAT1	ceRNA or sponge	MIR204
NEAT1	interact with protein	DDX5
NEAT1	ceRNA or sponge	MIR506
NEAT1	expression association	IL6
NEAT1	ceRNA or sponge	MIR101-1
NEAT1	ceRNA or sponge	MCL1
NEAT1	ceRNA or sponge	HMGA2
NEAT1	ceRNA or sponge	MAPK6
NEAT1	ceRNA or sponge	MIR613
NEAT1	ceRNA or sponge	MIR128-1
NEAT1	ceRNA or sponge	USF1
NEAT1	expression association	CDK5R1
NEAT1	expression association	MIR335
NEAT1	ceRNA or sponge	ROCK1
NEAT1	ceRNA or sponge	HMGA1
NEAT1	ceRNA or sponge	PNPLA2
NEAT1	ceRNA or sponge	SPP1
NEAT1	ceRNA or sponge	KLF6
NEAT1	interact with protein	SIN3A
NEAT1	transcriptional regulation	GATA3
NEAT1	expression association	CTNNB1
NEAT1	expression association	CDH2
NEAT1	expression association	MIR214
NEAT1	expression association	MIR129-1
NEAT1	expression association	WNT4
NEAT1	ceRNA or sponge	NRAS
NEAT1	ceRNA or sponge	CTBP2
NEAT1	ceRNA or sponge	E2F3
NEAT1	ceRNA or sponge	CDK6
NEAT1	expression association	MYC
NEAT1	expression association	EIF4G1
NEAT1	expression association	MMP2
NEAT1	expression association	MMP7
NEAT1	interact with protein	EZH2
